Username,Platform,Category / Niche,Followers Count,Engagement Rate %,Average Likes,Average Comments,Location,Influencer Tier,Engagement Score,Follower Tier Score,Influencer Score,Potential Category,Contact Available
icarehb,instagram,education,915,4.01,36.75,0.0,europe,below threshold,4,0,52,medium potential,1
ilcc.hennai,instagram,educational consultant,114,0.0,0.0,0.0,unknown,below threshold,1,0,28,low potential,1
immeksoftech,instagram,education,3210,0.04,9.14,0.35,india,below threshold,1,0,28,low potential,1
impactfemme_officiel,instagram,entrepreneur,925,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
indianapparel1,instagram,media/news company,524,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
inglinks,instagram,digital marketing,2592,0.0,0.0,0.0,usa,below threshold,1,0,28,low potential,1
jubilee.at.invasion,instagram,marketing and designer,4570,0.25,10.5,1.0,global,below threshold,1,0,28,low potential,1
investek.in,instagram,investment management company,2158,0.49,10.0,0.7,global,below threshold,1,0,28,low potential,1
smartmarket005,instagram,education,263,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
learmonthmarketing,instagram,digital marketing,216,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
jmwmotorwerke,instagram,legal,2465,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
joshuaschulman,instagram,consulting agency,2025,0.12,2.5,0.0,global,below threshold,1,0,28,low potential,1
josiedaymentbookkeeping,instagram,education,218,2.28,4.25,0.75,global,below threshold,3,0,44,medium potential,1
tscape_kabir,instagram,art,461,0.14,0.67,0.0,global,below threshold,1,0,28,low potential,1
kevalyahospitalthane,instagram,healthcare administrator,292,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
kevinokeeffebusinesscoach,instagram,entrepreneur,219,0.0,0.0,0.0,unknown,below threshold,1,0,28,low potential,1
kishorekumarceo,instagram,entrepreneur,455,0.55,2.0,0.5,global,below threshold,1,0,28,low potential,1
ktuttm,instagram,campus building,2487,1.1,27.38,0.0,trabzon,below threshold,2,0,36,low potential,1
_legendary.sneakerbar,instagram,education,173,0.0,0.0,0.0,unknown,below threshold,1,0,28,low potential,1
lima_partners,instagram,education,769,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
lulububu.software,instagram,software company,5466,0.0,0.0,0.0,global,micro,1,5,68,medium potential,1
lumia.team,instagram,product/service,17355,0.2,254.6,0.5,canada,micro,1,5,68,medium potential,1
macmillanindiaofficial,instagram,education,1895,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
mdigurgaon,instagram,college & university,12591,0.55,68.46,0.48,india,micro,1,5,68,medium potential,1
medwayadulted,instagram,education,1262,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
unternehmercms,instagram,digital creator,3478,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
meridian_tech,instagram,advertising/marketing,1983,2.8,2884.0,4.0,global,below threshold,3,0,44,medium potential,1
mikroelectron,instagram,electronics store,4768,0.07,3.24,0.35,unknown,below threshold,1,0,28,low potential,1
miyainitiative,instagram,education,135,0.21,34.38,1.38,global,below threshold,1,0,28,low potential,1
motive.finance,instagram,financial service,1306,0.14,2.41,0.0,global,below threshold,1,0,28,low potential,1
multisoftsystems,instagram,educational consultant,181,0.28,0.5,0.0,india,below threshold,1,0,28,low potential,1
mumsthebossblog,instagram,entrepreneur,3211,0.02,0.71,0.07,usa,below threshold,1,0,28,low potential,1
masteng_diagnostik,instagram,product/service,1503,0.63,9.5,0.31,global,below threshold,1,0,28,low potential,1
mymicrolabsolution,instagram,biotechnology company,1142,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
chimbo_pochi_by_namdori_225,instagram,entrepreneur,150,2.4,3.59,0.06,india,below threshold,3,0,44,medium potential,1
nascentmediaio,instagram,digital creator,121,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
nhcukar,instagram,education,17364,0.56,0.06,10.63,middle east,micro,1,5,68,medium potential,1
nobel_communication,instagram,education,6393,0.44,28.08,0.92,india,micro,1,5,68,medium potential,1
nulearnedu,instagram,education,26664,0.01,0.17,0.0,india,micro,1,5,68,medium potential,1
nzm.adv,instagram,marketing agency,12448,0.0,0.0,0.0,global,micro,1,5,68,medium potential,1
opentechdr,instagram,mobile phone shop,6277,0.32,4.0,0.03,usa,micro,1,5,68,medium potential,1
opportunitiesforyouth,instagram,non-governmental organization (ngo),279213,0.01,25.77,0.08,global,macro,1,3,52,medium potential,1
orange_corners,instagram,entrepreneur,7680,0.1,0.47,0.0,global,micro,1,5,68,medium potential,1
fmestilo917,instagram,product/service,309,0.1,0.24,0.08,global,below threshold,1,0,28,low potential,1
piguitars,instagram,shopping & retail,48231,0.0,0.0,0.0,global,micro,1,5,68,medium potential,1
mra_multimedia,instagram,entrepreneur,2394,0.0,0.0,0.0,unknown,below threshold,1,0,28,low potential,1
pdts365,instagram,education,120,1.53,1.83,0.0,global,below threshold,2,0,36,low potential,1
progressive_educationpoint,instagram,education,1488,0.09,11.69,0.38,india,below threshold,1,0,28,low potential,1
psp_inc,instagram,software company,309,0.93,2.71,0.14,usa,below threshold,1,0,28,low potential,1
qualitypointitconsultancy,instagram,information technology company,1119,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
raizcorp_,instagram,education,12379,0.04,5.5,0.0,africa,micro,1,5,68,medium potential,1
rank_freak,instagram,product/service,859,0.23,2.0,0.0,global,below threshold,1,0,28,low potential,1
dutchieetv,instagram,education,2265,0.01,0.24,0.03,global,below threshold,1,0,28,low potential,1
rdgmediauk,instagram,education,945,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
rightyon.technology,instagram,"science, technology & engineering",468,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
rocket_algo,instagram,software company,1716,0.11,1.96,0.0,global,below threshold,1,0,28,low potential,1
rockstarrandmoon,instagram,advertising/marketing,863,0.32,2.5,0.29,usa,below threshold,1,0,28,low potential,1
romebusinessschool_nigeria,instagram,education,10416,1.75,26.42,3.42,global,micro,2,5,76,high potential,1
rwthacademy,instagram,education,4250,0.38,16.45,0.0,global,below threshold,1,0,28,low potential,1
saifahmed1125,instagram,digital marketing,334,0.21,0.75,0.0,global,below threshold,1,0,28,low potential,1
saveethaengineeringcollege,instagram,college & university,19921,0.79,158.03,0.16,india,micro,1,5,68,medium potential,1
sehrishhseexpert,instagram,education,813,0.08,2.5,0.0,india,below threshold,1,0,28,low potential,1
senecgmbh,instagram,solar energy company,6990,0.0,0.0,0.0,global,micro,1,5,68,medium potential,1
seventh_sense_talent_solutions,instagram,education,1501,0.54,8.0,0.17,india,below threshold,1,0,28,low potential,1
sharemarketwalaofficial,instagram,education,285,0.66,2.22,0.11,global,below threshold,1,0,28,low potential,1
sharkearnings,instagram,advertising/marketing,7307,2.0,9.5,5.25,global,micro,2,5,76,high potential,1
social.hub.entrepreneurs,instagram,community,5734,0.0,0.0,0.0,india,micro,1,5,68,medium potential,1
sheeo_foundation,instagram,non-governmental organization (ngo),108,1.43,1.22,0.33,unknown,below threshold,2,0,36,low potential,1
afroshefound,instagram,business center,2946,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
shinebrandseeds,instagram,brand,2408,0.0,0.0,0.0,unknown,below threshold,1,0,28,low potential,1
shivanshoutsourcing,instagram,employment agency,265,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
swagwalapm,instagram,education,11730,0.04,0.0,9.33,india,micro,1,5,68,medium potential,1
siriuslync,instagram,education,1194,1.01,6.36,0.0,india,below threshold,2,0,36,low potential,1
skillmummy,instagram,marketing agency,10131,0.0,0.0,0.0,india,micro,1,5,68,medium potential,1
smolensocial,instagram,content creation,251,0.35,2.0,1.0,global,below threshold,1,0,28,low potential,1
soldafer.es,instagram,product/service,9279,0.03,2.6,0.1,global,micro,1,5,68,medium potential,1
solidprojectsa,instagram,marketing agency,303,0.68,2.0,0.08,global,below threshold,1,0,28,low potential,1
sparkthomasville,instagram,education,220,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
specnt,instagram,information technology company,114,3.65,4.16,0.0,global,below threshold,3,0,44,medium potential,1
springboardmgt,instagram,consulting agency,107,0.0,0.0,0.0,usa,below threshold,1,0,28,low potential,1
startupdotpk,instagram,business & economy website,3030,0.18,5.5,0.0,pakistan,below threshold,1,0,28,low potential,1
startupnaama,instagram,education,1130,0.27,3.0,0.0,india,below threshold,1,0,28,low potential,1
success_grids,instagram,news & media website,1938,0.0,0.0,0.0,unknown,below threshold,1,0,28,low potential,1
taskw.co,instagram,amusement & theme park,630,0.0,0.0,0.0,middle east,below threshold,1,0,28,low potential,1
tefconnect,instagram,community,26605,0.39,0.0,0.9,global,micro,1,5,68,medium potential,1
teamtgic,instagram,government organization,5541,0.56,30.14,1.07,india,micro,1,5,68,medium potential,1
tezhost,instagram,computers & internet website,3579,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
clicksmart804,instagram,advertising agency,110,0.0,0.0,0.0,usa,below threshold,1,0,28,low potential,1
the_creative_cafe,instagram,business,256,1.82,4.67,0.0,india,below threshold,2,0,36,low potential,1
theforeigntravels,instagram,educational consultant,7832,0.99,1.93,0.07,global,micro,1,5,68,medium potential,1
thetechcapital_,instagram,media/news company,5876,0.0,0.0,0.0,global,micro,1,5,68,medium potential,1
tjdeed.tech,instagram,information technology company,1134,2.84,15.0,4.0,global,below threshold,3,0,44,medium potential,1
tripathiaroraassociatesllp,instagram,accounting service,390,0.05,0.67,0.0,india,below threshold,1,0,28,low potential,1
yetustores,instagram,computer store,129,0.28,0.37,0.0,global,below threshold,1,0,28,low potential,1
ub_institute_training,instagram,educational research center,1531,0.24,3.67,0.0,india,below threshold,1,0,28,low potential,1
under40ceos,instagram,education,38844,0.04,15.86,0.83,unknown,micro,1,5,68,medium potential,1
uop.gr,instagram,college & university,5055,1.09,55.0,0.0,unknown,micro,2,5,76,high potential,1
urbanitydetailing,instagram,"automotive, aircraft & boat",2025,3.48,57.75,13.25,global,below threshold,3,0,44,medium potential,1
valarchiii,instagram,education,748410,0.92,6990.0,30.9,global,macro,1,3,52,medium potential,1
vapet_technology,instagram,electronics company,397,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
vinodgupta.classes,instagram,education,14902,0.0,0.0,0.0,usa,micro,1,5,68,medium potential,1
robot_o_0,instagram,education,91724,0.0,0.0,0.0,global,mid,1,4,60,medium potential,1
webbrainstech,instagram,education,132,0.76,1.0,0.0,global,below threshold,1,0,28,low potential,1
winfield_strategy,instagram,product/service,296,1.24,3.67,0.0,global,below threshold,2,0,36,low potential,1
wynimexhibitions,instagram,advertising/marketing,976,0.26,2.16,0.42,global,below threshold,1,0,28,low potential,1
youthexpatonig,instagram,digital creator,1737,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
zhejianguniversity,instagram,education,158734,0.71,1120.0,5.76,global,mid,1,4,60,medium potential,1
rukunlava,instagram,construction company,1088,0.01,0.13,0.0,unknown,below threshold,1,0,28,low potential,1
creativity.cck,instagram,education,6658,0.28,14.8,0.69,unknown,micro,1,5,68,medium potential,1
babbu.editizz,instagram,reel creator,1017,30.78,101.7,10.17,india,below threshold,5,0,60,medium potential,1
243_pro_network,instagram,community organization,2009,5.67,200.9,20.09,india,below threshold,4,0,52,medium potential,1
aboutinsidercom,instagram,media/news company,49546,1.88,4954.6,495.46,india,micro,2,5,76,high potential,1
adamthetechenthusiast,instagram,digital creator,52623,4.75,5262.3,526.23,global,mid,4,4,84,high potential,1
aiwithpj,instagram,digital creator,16185,0.3,1618.5,161.85,global,micro,1,5,68,medium potential,1
an_inspired_story,instagram,business consultant,619,1.94,61.9,6.19,global,below threshold,2,0,36,low potential,1
alex.tech.yt,instagram,personal blog,862,12.99,86.2,8.62,global,below threshold,5,0,60,medium potential,1
aliciawtc,instagram,digital creator,1004,13.94,100.4,10.04,global,below threshold,5,0,60,medium potential,1
alkemyedtech,instagram,education,22104,1.4,2210.4,221.04,global,micro,2,5,76,high potential,1
ambiters,instagram,software company,7842,14.15,784.2,78.42,india,micro,5,5,100,high potential,1
anant_national_university,instagram,college & university,12122,9.2,1212.2,121.22,"ahmedabad, india",micro,5,5,100,high potential,1
mastermind__ankit,instagram,reel creator,231819,0.44,23181.9,2318.19,global,mid,1,4,60,medium potential,1
apec_ittraining,instagram,education,954,48.85,95.4,9.54,india,below threshold,5,0,60,medium potential,1
aptitudemigrationpakistan,instagram,educational consultant,1793,15.78,179.3,17.93,"lahore, pakistan",below threshold,5,0,60,medium potential,1
ascendantsdotin,instagram,educational consultant,6047,1.06,604.7,60.47,india,micro,2,5,76,high potential,1
ascentiq_staffing,instagram,employment agency,2514,14.64,251.4,25.14,india,below threshold,5,0,60,medium potential,1
astraz.official_,instagram,software company,961,37.88,96.1,9.61,india,below threshold,5,0,60,medium potential,1
aswinipriyankarajendrannadar,instagram,entrepreneur,80918,11.73,8091.8,809.18,india,mid,5,4,92,high potential,1
aundigital.ae,instagram,marketing agency,2412,29.35,241.2,24.12,india,below threshold,5,0,60,medium potential,1
aupp.edu.kh,instagram,education,7376,27.73,737.6,73.76,india,micro,5,5,100,high potential,1
techgroww_,instagram,digital creator,36474,0.91,3647.4,364.74,global,micro,1,5,68,medium potential,1
arentek92,instagram,digital creator,192322,0.22,19232.2,1923.22,global,mid,1,4,60,medium potential,1
beaconitmedia,instagram,digital creator,560,41.43,56.0,5.6,global,below threshold,5,0,60,medium potential,1
bella.boutique.surat,instagram,clothing (brand),5859,3.99,585.9,58.59,global,micro,3,5,84,high potential,1
thesocialmantra,instagram,advertising/marketing,614,65.96,61.4,6.14,global,below threshold,5,0,60,medium potential,1
b.h.a.k.t.a_official,instagram,reel creator,1754,9.58,175.4,17.54,global,below threshold,5,0,60,medium potential,1
its_binniii,instagram,blogger,1314,20.93,131.4,13.14,global,below threshold,5,0,60,medium potential,1
biotecnika_official,instagram,education,59748,42.13,5974.8,597.48,india,mid,5,4,92,high potential,1
Biotecnika India,instagram,education,59748,1.13,5974.8,597.48,india,mid,2,4,68,medium potential,1
bbpsetx,instagram,community organization,1018,32.71,101.8,10.18,india,below threshold,5,0,60,medium potential,1
bkcob,instagram,community organization,1281,10.69,128.1,12.81,"east london, eastern cape",below threshold,5,0,60,medium potential,1
borgschoren_official,instagram,school,1908,3.04,190.8,19.08,global,below threshold,3,0,44,medium potential,1
buraqtechs,instagram,computer company,4561,17.96,456.1,45.61,india,below threshold,5,0,60,medium potential,1
caddcentreludhiana,instagram,tech creator,953,8.92,95.3,9.53,"ludhiana, punjab",below threshold,5,0,60,medium potential,1
calebo_williams,instagram,photography videography,1285,25.84,128.5,12.85,global,below threshold,5,0,60,medium potential,1
catalyzerinstitute,instagram,photography videography,1668,29.26,166.8,16.68,global,below threshold,5,0,60,medium potential,1
chunksgaming,instagram,digital creator,36177,21.88,3617.7,361.77,global,micro,5,5,100,high potential,1
codex_geeks,instagram,information technology company,3449,14.41,344.9,34.49,india,below threshold,5,0,60,medium potential,1
fidelissibe,instagram,public figure,4345,7.34,434.5,43.45,india,below threshold,5,0,60,medium potential,1
conseracreative,instagram,marketing agency,19257,8.17,1925.7,192.57,"winnipeg, manitoba",micro,5,5,100,high potential,1
divacreative.id,instagram,social media agency,800,20.88,80.0,8.0,global,below threshold,5,0,60,medium potential,1
cybershortieee,instagram,digital creator,2314,16.85,231.4,23.14,global,below threshold,5,0,60,medium potential,1
coachdnicole,instagram,business consultant,9983,2.67,998.3,99.83,"jacksonville, florida",micro,3,5,84,high potential,1
HM JOB CONSULTANCY 🤝🏻,instagram,consulting agency,1706,13.07,170.6,17.06,ghandhidham,below threshold,5,0,60,medium potential,1
thinkaroundofficial,instagram,advertising/marketing,636,13.84,63.6,6.36,india,below threshold,5,0,60,medium potential,1
retinkmedia,instagram,marketing agency,510,31.18,51.0,5.1,"bonn, germany",below threshold,5,0,60,medium potential,1
digi.taleasy,instagram,marketing agency,951,21.87,95.1,9.51,india,below threshold,5,0,60,medium potential,1
digital_tatsat,instagram,product/service,766,43.6,76.6,7.66,india,below threshold,5,0,60,medium potential,1
digitechhealthcare,instagram,marketing agency,895,36.2,89.5,8.95,india,below threshold,5,0,60,medium potential,1
doublesmart,instagram,internet marketing service,1006,42.05,100.6,10.06,india,below threshold,5,0,60,medium potential,1
drkrishnaathal,instagram,personal coach,121300,0.4,12130.0,1213.0,india,mid,1,4,60,medium potential,1
dr_raj_gopal,instagram,digital creator,23054,1.78,2305.4,230.54,global,micro,2,5,76,high potential,1
dr.morrowmarketingclass,instagram,digital creator,2592,3.05,259.2,25.92,global,below threshold,3,0,44,medium potential,1
ecell_vit.bhopal,instagram,community,1420,18.24,142.0,14.2,global,below threshold,5,0,60,medium potential,1
Ea La Mar’s Cosmetology & Barber College (ECBC),instagram,college & university,759,10.94,75.9,7.59,"kansas city, missouri",below threshold,5,0,60,medium potential,1
earthtab_services,instagram,business service,13527,8.38,1352.7,135.27,"benin, nigeria",micro,5,5,100,high potential,1
edu_codeyaya,instagram,education,2970,11.72,297.0,29.7,india,below threshold,5,0,60,medium potential,1
elevate.academy.kalyan,instagram,education,954,29.14,95.4,9.54,india,below threshold,5,0,60,medium potential,1
engagecoders,instagram,marketing agency,528,67.05,52.8,5.28,india,below threshold,5,0,60,medium potential,1
enzaveindia,instagram,information technology company,1025,58.83,102.5,10.25,india,below threshold,5,0,60,medium potential,1
esma.yucelsat,instagram,digital creator,115537,12.71,11553.7,1155.37,global,mid,5,4,92,high potential,1
exventureacademy,instagram,entrepreneur,805,16.65,80.5,8.05,india,below threshold,5,0,60,medium potential,1
fabulousmediahq,instagram,advertising agency,626,18.21,62.6,6.26,india,below threshold,5,0,60,medium potential,1
digizan_hunt,instagram,advertising/marketing,1109,21.64,110.9,11.09,india,below threshold,5,0,60,medium potential,1
fatihlyfe,instagram,digital creator,387665,7.43,38766.5,3876.65,global,macro,5,3,84,high potential,1
ficuslotpvt,instagram,product/service,6665,19.71,666.5,66.65,global,micro,5,5,100,high potential,1
fortitudeflourishdenver,instagram,alternative & holistic health service,906,35.1,90.6,9.06,"golden, colorado",below threshold,5,0,60,medium potential,1
frankperalta_,instagram,product/service,1284,11.45,128.4,12.84,india,below threshold,5,0,60,medium potential,1
frankiegwolfe,instagram,product/service,1402,10.56,140.2,14.02,india,below threshold,5,0,60,medium potential,1
gabrieltechrd,instagram,information technology company,974,79.88,97.4,9.74,"moca, espaillat",below threshold,5,0,60,medium potential,1
gather_properties,instagram,entrepreneur,536,58.21,53.6,5.36,"petaling jaya, malaysia",below threshold,5,0,60,medium potential,1
jyhodges,instagram,entrepreneur,22946,52.61,2294.6,229.46,global,micro,5,5,100,high potential,1
getricheducation,instagram,podcast,5736,4.72,573.6,57.36,global,micro,4,5,92,high potential,1
hg_astuces.ia,instagram,digital creator,1635,55.47,163.5,16.35,india,below threshold,5,0,60,medium potential,1
globalrecruitexperts,instagram,digital creator,876,54.91,87.6,8.76,india,below threshold,5,0,60,medium potential,1
gsseduorg,instagram,educational research center,36458,13.1,3645.8,364.58,"chennai, india",micro,5,5,100,high potential,1
gosocymedia,instagram,advertising/marketing,808,80.69,80.8,8.08,india,below threshold,5,0,60,medium potential,1
graphikri_webdesigner,instagram,digital creator,730,56.44,73.0,7.3,india,below threshold,5,0,60,medium potential,1
gautam__tech,instagram,comedian,1252,18.29,125.2,12.52,global,below threshold,5,0,60,medium potential,1
htrooot,instagram,reel creator,83675,1.77,8367.5,836.75,global,mid,2,4,68,medium potential,1
halvabeauty,instagram,"beauty, cosmetic & personal care",3266,0.55,326.6,32.66,"new york, new york",below threshold,1,0,28,low potential,1
hashtagsol,instagram,marketing agency,8048,13.18,804.8,80.48,"lahore, pakistan",micro,5,5,100,high potential,1
the_tech_desk_,instagram,digital creator,1599,4.07,159.9,15.99,global,below threshold,4,0,52,medium potential,1
HerSecondinnings.com,instagram,education,3293,0.18,329.3,32.93,"bangalore, india",below threshold,1,0,28,low potential,1
hersecondinnings,instagram,education,3293,9.23,329.3,32.93,"bangalore, india",below threshold,5,0,60,medium potential,1
hitech_college_,instagram,college & university,2608,7.9,260.8,26.08,india,below threshold,5,0,60,medium potential,1
Himanshu Maddhesiya,instagram,tech creator,612,12.75,61.2,6.12,uttar pradesh,below threshold,5,0,60,medium potential,1
hm_job_consultancy_gandhidham,instagram,consulting agency,1706,9.2,170.6,17.06,india,below threshold,5,0,60,medium potential,1
Incubator & Accelerator Centre,instagram,community,1492,5.43,149.2,14.92,"mumbai, maharashtra",below threshold,4,0,52,medium potential,1
ilisagvikcollege,instagram,community,1733,21.41,173.3,17.33,"barrow, alaska",below threshold,5,0,60,medium potential,1
iac.jaihindcollege,instagram,community,1492,52.14,149.2,14.92,"mumbai, maharashtra",below threshold,5,0,60,medium potential,1
internshipgate,instagram,education,3914,39.96,391.4,39.14,india,below threshold,5,0,60,medium potential,1
iteskul,instagram,language school,909,2.75,90.9,9.09,india,below threshold,3,0,44,medium potential,1
